Timestamp:     Type:

139397.325885: funcgraph_entry:        0.197 us   |                          __accumulate_pelt_segments();
139397.325885: funcgraph_exit:         0.634 us   |                        }
139397.325885: funcgraph_entry:                   |                        update_cfs_group() {
139397.325886: funcgraph_entry:                   |                          reweight_entity() {
139397.325886: funcgraph_entry:        0.138 us   |                            update_curr();
139397.325886: funcgraph_entry:        0.126 us   |                            account_entity_dequeue();
139397.325886: funcgraph_entry:        0.122 us   |                            account_entity_enqueue();
139397.325887: funcgraph_exit:         1.041 us   |                          }
139397.325887: funcgraph_exit:         1.349 us   |                        }
139397.325887: funcgraph_entry:        0.124 us   |                        hrtimer_active();
139397.325887: funcgraph_exit:         9.480 us   |                      }
139397.325887: funcgraph_entry:        0.125 us   |                      calc_global_load_tick();
139397.325888: funcgraph_entry:                   |                      trigger_load_balance() {
139397.325888: funcgraph_entry:        0.122 us   |                        nohz_balance_exit_idle();
139397.325888: funcgraph_exit:         0.369 us   |                      }
139397.325888: funcgraph_exit:       + 11.611 us  |                    }
139397.325888: funcgraph_entry:        0.125 us   |                    run_posix_cpu_timers();
139397.325889: funcgraph_exit:       + 17.668 us  |                  }
139397.325889: funcgraph_entry:        0.123 us   |                  profile_tick();
139397.325889: funcgraph_exit:       + 18.249 us  |                }
139397.325889: funcgraph_entry:        0.121 us   |                hrtimer_forward();
139397.325889: funcgraph_exit:       + 27.632 us  |              }
139397.325890: funcgraph_entry:        0.122 us   |              _raw_spin_lock_irq();
139397.325890: funcgraph_entry:        0.292 us   |              enqueue_hrtimer();
139397.325890: funcgraph_exit:       + 29.609 us  |            }
139397.325890: funcgraph_entry:                   |            __hrtimer_get_next_event() {
139397.325890: funcgraph_entry:        0.123 us   |              __hrtimer_next_event_base();
139397.325891: funcgraph_entry:        0.159 us   |              __hrtimer_next_event_base();
139397.325891: funcgraph_exit:         0.650 us   |            }
139397.325891: funcgraph_entry:        0.138 us   |            _raw_spin_unlock_irqrestore();
139397.325891: funcgraph_entry:                   |            tick_program_event() {
139397.325892: funcgraph_entry:                   |              clockevents_program_event() {
139397.325892: funcgraph_entry:        0.159 us   |                ktime_get();
139397.325892: funcgraph_entry:        0.184 us   |                lapic_next_deadline();
139397.325892: funcgraph_exit:         0.741 us   |              }
139397.325892: funcgraph_exit:         0.996 us   |            }
139397.325892: funcgraph_exit:       + 33.059 us  |          }
139397.325893: funcgraph_entry:                   |          irq_exit() {
139397.325893: funcgraph_entry:        0.190 us   |            ksoftirqd_running();
139397.325893: funcgraph_entry:                   |            __do_softirq() {
139397.325893: funcgraph_entry:                   |              run_timer_softirq() {
139397.325893: funcgraph_entry:        0.124 us   |                _raw_spin_lock_irq();
139397.325894: funcgraph_entry:        0.176 us   |                _raw_spin_lock_irq();
139397.325894: funcgraph_exit:         0.683 us   |              }
139397.325894: funcgraph_exit:         1.003 us   |            }
139397.325894: funcgraph_entry:        0.134 us   |            idle_cpu();
139397.325894: funcgraph_entry:        0.148 us   |            rcu_irq_exit();
139397.325895: funcgraph_exit:         2.105 us   |          }
139397.325895: funcgraph_exit:       + 36.675 us  |        }
139397.325895: funcgraph_entry:        0.151 us   |        __count_memcg_events();
139397.325895: funcgraph_entry:                   |        __handle_mm_fault() {
139397.325896: funcgraph_entry:        0.140 us   |          is_vma_temporary_stack();
139397.325896: funcgraph_entry:                   |          do_fault() {
139397.325896: funcgraph_entry:                   |            pte_alloc_one() {
139397.325896: funcgraph_entry:                   |              alloc_pages_current() {
139397.325896: funcgraph_entry:        0.119 us   |                get_task_policy.part.0();
139397.325896: funcgraph_entry:        0.122 us   |                policy_nodemask();
139397.325897: funcgraph_entry:        0.120 us   |                policy_node();
139397.325897: funcgraph_entry:                   |                __alloc_pages_nodemask() {
139397.325897: funcgraph_entry:                   |                  _cond_resched() {
139397.325897: funcgraph_entry:        0.124 us   |                    rcu_all_qs();
139397.325897: funcgraph_exit:         0.362 us   |                  }
139397.325898: funcgraph_entry:        0.122 us   |                  should_fail_alloc_page();
139397.325898: funcgraph_entry:                   |                  get_page_from_freelist() {
139397.325898: funcgraph_entry:        0.135 us   |                    __inc_numa_state();
139397.325898: funcgraph_entry:        0.121 us   |                    __inc_numa_state();
139397.325898: funcgraph_entry:                   |                    prep_new_page() {
139397.325899: funcgraph_entry:        0.121 us   |                      kernel_poison_pages();
139397.325899: funcgraph_entry:        0.123 us   |                      page_poisoning_enabled();
139397.325899: funcgraph_entry:        0.121 us   |                      page_poisoning_enabled();
139397.325900: funcgraph_exit:         1.059 us   |                    }
139397.325900: funcgraph_exit:         1.896 us   |                  }
139397.325900: funcgraph_entry:                   |                  __memcg_kmem_charge() {
139397.325900: funcgraph_entry:        0.157 us   |                    get_mem_cgroup_from_mm();
139397.325900: funcgraph_entry:                   |                    __memcg_kmem_charge_memcg() {
139397.325900: funcgraph_entry:        0.247 us   |                      try_charge();
139397.325901: funcgraph_entry:                   |                      page_counter_try_charge() {
139397.325901: funcgraph_entry:        0.118 us   |                        propagate_protected_usage();
139397.325901: funcgraph_entry:        0.119 us   |                        propagate_protected_usage();
139397.325901: funcgraph_entry:        0.119 us   |                        propagate_protected_usage();
139397.325902: funcgraph_entry:        0.120 us   |                        propagate_protected_usage();
139397.325902: funcgraph_exit:         1.221 us   |                      }
139397.325902: funcgraph_exit:         1.831 us   |                    }
139397.325902: funcgraph_exit:         2.347 us   |                  }
139397.325902: funcgraph_exit:         5.356 us   |                }
139397.325903: funcgraph_exit:         6.331 us   |              }
139397.325903: funcgraph_entry:        0.131 us   |              inc_zone_page_state();
139397.325903: funcgraph_exit:         7.165 us   |            }
139397.325904: funcgraph_entry:        0.206 us   |            filemap_map_pages();
139397.325904: funcgraph_entry:                   |            __do_fault() {
139397.325904: funcgraph_entry:                   |              xfs_filemap_fault() {
139397.325904: funcgraph_entry:                   |                __xfs_filemap_fault() {
139397.325904: funcgraph_entry:                   |                  xfs_ilock() {
139397.325904: funcgraph_entry:                   |                    down_read() {
139397.325905: funcgraph_entry:                   |                      _cond_resched() {
139397.325905: funcgraph_entry:        0.121 us   |                        rcu_all_qs();
139397.325905: funcgraph_exit:         0.363 us   |                      }
139397.325905: funcgraph_exit:         0.612 us   |                    }
139397.325905: funcgraph_exit:         0.851 us   |                  }
139397.325905: funcgraph_entry:                   |                  filemap_fault() {
139397.325905: funcgraph_entry:                   |                    pagecache_get_page() {
139397.325905: funcgraph_entry:        0.152 us   |                      find_get_entry();
139397.325906: funcgraph_exit:         0.411 us   |                    }
139397.325906: funcgraph_entry:        0.124 us   |                    mem_cgroup_from_task();
139397.325906: funcgraph_entry:        0.125 us   |                    __count_memcg_events();
139397.325906: funcgraph_entry:        0.128 us   |                    up_read();
139397.325907: funcgraph_entry:                   |                    __do_page_cache_readahead() {
139397.325907: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325907: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325907: funcgraph_entry:        0.121 us   |                          get_task_policy.part.0();
139397.325907: funcgraph_entry:        0.124 us   |                          policy_nodemask();
139397.325908: funcgraph_entry:        0.124 us   |                          policy_node();
139397.325908: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325908: funcgraph_entry:                   |                            _cond_resched() {
139397.325908: funcgraph_entry:        0.126 us   |                              rcu_all_qs();
139397.325908: funcgraph_exit:         0.365 us   |                            }
139397.325908: funcgraph_entry:        0.121 us   |                            should_fail_alloc_page();
139397.325909: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325909: funcgraph_entry:        0.128 us   |                              __inc_numa_state();
139397.325909: funcgraph_entry:        0.126 us   |                              __inc_numa_state();
139397.325909: funcgraph_entry:                   |                              prep_new_page() {
139397.325909: funcgraph_entry:        0.129 us   |                                kernel_poison_pages();
139397.325910: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325910: funcgraph_entry:        0.127 us   |                                page_poisoning_enabled();
139397.325910: funcgraph_exit:         1.089 us   |                              }
139397.325911: funcgraph_exit:         1.901 us   |                            }
139397.325911: funcgraph_exit:         2.894 us   |                          }
139397.325911: funcgraph_exit:         3.889 us   |                        }
139397.325911: funcgraph_exit:         4.156 us   |                      }
139397.325911: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325911: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325911: funcgraph_entry:        0.121 us   |                          get_task_policy.part.0();
139397.325912: funcgraph_entry:        0.122 us   |                          policy_nodemask();
139397.325912: funcgraph_entry:        0.124 us   |                          policy_node();
139397.325912: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325912: funcgraph_entry:                   |                            _cond_resched() {
139397.325912: funcgraph_entry:        0.124 us   |                              rcu_all_qs();
139397.325913: funcgraph_exit:         0.361 us   |                            }
139397.325913: funcgraph_entry:        0.121 us   |                            should_fail_alloc_page();
139397.325913: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325913: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325913: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325914: funcgraph_entry:                   |                              prep_new_page() {
139397.325914: funcgraph_entry:        0.124 us   |                                kernel_poison_pages();
