Timestamp:      Type:

139837.742088: funcgraph_entry:        0.132 us   |                            __inc_numa_state();
139837.742088: funcgraph_entry:                   |                            prep_new_page() {
139837.742088: funcgraph_entry:        0.127 us   |                              kernel_poison_pages();
139837.742088: funcgraph_entry:        0.129 us   |                              page_poisoning_enabled();
139837.742089: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742089: funcgraph_exit:         1.051 us   |                            }
139837.742089: funcgraph_exit:         1.907 us   |                          }
139837.742089: funcgraph_exit:         2.948 us   |                        }
139837.742089: funcgraph_exit:         3.995 us   |                      }
139837.742090: funcgraph_exit:         4.248 us   |                    }
139837.742090: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742090: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742090: funcgraph_entry:        0.129 us   |                        get_task_policy.part.0();
139837.742090: funcgraph_entry:        0.129 us   |                        policy_nodemask();
139837.742091: funcgraph_entry:        0.130 us   |                        policy_node();
139837.742091: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742091: funcgraph_entry:                   |                          _cond_resched() {
139837.742091: funcgraph_entry:        0.129 us   |                            rcu_all_qs();
139837.742091: funcgraph_exit:         0.380 us   |                          }
139837.742092: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742092: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742092: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742092: funcgraph_entry:        0.129 us   |                            __inc_numa_state();
139837.742092: funcgraph_entry:                   |                            prep_new_page() {
139837.742093: funcgraph_entry:        0.129 us   |                              kernel_poison_pages();
139837.742093: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742093: funcgraph_entry:        0.128 us   |                              page_poisoning_enabled();
139837.742094: funcgraph_exit:         1.074 us   |                            }
139837.742094: funcgraph_exit:         2.028 us   |                          }
139837.742094: funcgraph_exit:         3.278 us   |                        }
139837.742095: funcgraph_exit:         4.524 us   |                      }
139837.742095: funcgraph_exit:         4.921 us   |                    }
139837.742095: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742095: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742095: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742095: funcgraph_entry:        0.132 us   |                        policy_nodemask();
139837.742096: funcgraph_entry:        0.135 us   |                        policy_node();
139837.742096: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742096: funcgraph_entry:                   |                          _cond_resched() {
139837.742096: funcgraph_entry:        0.130 us   |                            rcu_all_qs();
139837.742096: funcgraph_exit:         0.385 us   |                          }
139837.742097: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742097: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742097: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742097: funcgraph_entry:        0.133 us   |                            __inc_numa_state();
139837.742097: funcgraph_entry:                   |                            prep_new_page() {
139837.742098: funcgraph_entry:        0.131 us   |                              kernel_poison_pages();
139837.742098: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742098: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742099: funcgraph_exit:         1.045 us   |                            }
139837.742099: funcgraph_exit:         1.886 us   |                          }
139837.742099: funcgraph_exit:         2.931 us   |                        }
139837.742099: funcgraph_exit:         4.165 us   |                      }
139837.742099: funcgraph_exit:         4.434 us   |                    }
139837.742099: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742100: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742100: funcgraph_entry:        0.127 us   |                        get_task_policy.part.0();
139837.742100: funcgraph_entry:        0.143 us   |                        policy_nodemask();
139837.742100: funcgraph_entry:        0.130 us   |                        policy_node();
139837.742100: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742101: funcgraph_entry:                   |                          _cond_resched() {
139837.742101: funcgraph_entry:        0.132 us   |                            rcu_all_qs();
139837.742101: funcgraph_exit:         0.389 us   |                          }
139837.742101: funcgraph_entry:        0.130 us   |                          should_fail_alloc_page();
139837.742101: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742102: funcgraph_entry:        0.132 us   |                            __inc_numa_state();
139837.742102: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742102: funcgraph_entry:                   |                            prep_new_page() {
139837.742102: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742102: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742103: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742103: funcgraph_exit:         1.085 us   |                            }
139837.742103: funcgraph_exit:         1.922 us   |                          }
139837.742103: funcgraph_exit:         2.971 us   |                        }
139837.742104: funcgraph_exit:         4.022 us   |                      }
139837.742104: funcgraph_exit:         4.282 us   |                    }
139837.742104: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742104: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742104: funcgraph_entry:        0.130 us   |                        get_task_policy.part.0();
139837.742104: funcgraph_entry:        0.129 us   |                        policy_nodemask();
139837.742105: funcgraph_entry:        0.129 us   |                        policy_node();
139837.742105: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742105: funcgraph_entry:                   |                          _cond_resched() {
139837.742105: funcgraph_entry:        0.132 us   |                            rcu_all_qs();
139837.742105: funcgraph_exit:         0.385 us   |                          }
139837.742106: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742106: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742106: funcgraph_entry:        0.128 us   |                            __inc_numa_state();
139837.742106: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742106: funcgraph_entry:                   |                            prep_new_page() {
139837.742107: funcgraph_entry:        0.131 us   |                              kernel_poison_pages();
139837.742107: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742107: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742108: funcgraph_exit:         1.119 us   |                            }
139837.742108: funcgraph_exit:         1.955 us   |                          }
139837.742108: funcgraph_exit:         3.001 us   |                        }
139837.742108: funcgraph_exit:         4.050 us   |                      }
139837.742108: funcgraph_exit:         4.308 us   |                    }
139837.742108: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742108: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742109: funcgraph_entry:        0.128 us   |                        get_task_policy.part.0();
139837.742109: funcgraph_entry:        0.129 us   |                        policy_nodemask();
139837.742109: funcgraph_entry:        0.129 us   |                        policy_node();
139837.742109: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742109: funcgraph_entry:                   |                          _cond_resched() {
139837.742110: funcgraph_entry:        0.141 us   |                            rcu_all_qs();
139837.742110: funcgraph_exit:         0.406 us   |                          }
139837.742110: funcgraph_entry:        0.128 us   |                          should_fail_alloc_page();
139837.742110: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742110: funcgraph_entry:        0.142 us   |                            __inc_numa_state();
139837.742111: funcgraph_entry:        0.134 us   |                            __inc_numa_state();
139837.742111: funcgraph_entry:                   |                            prep_new_page() {
139837.742111: funcgraph_entry:        0.132 us   |                              kernel_poison_pages();
139837.742111: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742112: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742112: funcgraph_exit:         1.075 us   |                            }
139837.742112: funcgraph_exit:         1.925 us   |                          }
139837.742112: funcgraph_exit:         2.986 us   |                        }
139837.742112: funcgraph_exit:         4.023 us   |                      }
139837.742113: funcgraph_exit:         4.280 us   |                    }
139837.742113: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742113: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742113: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742113: funcgraph_entry:        0.130 us   |                        policy_nodemask();
139837.742114: funcgraph_entry:        0.128 us   |                        policy_node();
139837.742114: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742114: funcgraph_entry:                   |                          _cond_resched() {
139837.742114: funcgraph_entry:        0.128 us   |                            rcu_all_qs();
139837.742114: funcgraph_exit:         0.387 us   |                          }
139837.742114: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742115: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742115: funcgraph_entry:        0.129 us   |                            __inc_numa_state();
139837.742115: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742115: funcgraph_entry:                   |                            prep_new_page() {
139837.742116: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742116: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742116: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742117: funcgraph_exit:         1.093 us   |                            }
139837.742117: funcgraph_exit:         1.943 us   |                          }
139837.742117: funcgraph_exit:         3.054 us   |                        }
139837.742117: funcgraph_exit:         4.106 us   |                      }
139837.742117: funcgraph_exit:         4.364 us   |                    }
139837.742117: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742117: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742118: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742118: funcgraph_entry:        0.132 us   |                        policy_nodemask();
139837.742118: funcgraph_entry:        0.132 us   |                        policy_node();
139837.742118: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742118: funcgraph_entry:                   |                          _cond_resched() {
139837.742119: funcgraph_entry:        0.135 us   |                            rcu_all_qs();
139837.742119: funcgraph_exit:         0.392 us   |                          }
139837.742119: funcgraph_entry:        0.134 us   |                          should_fail_alloc_page();
139837.742119: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742119: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742120: funcgraph_entry:        0.128 us   |                            __inc_numa_state();
139837.742120: funcgraph_entry:                   |                            prep_new_page() {
139837.742120: funcgraph_entry:        0.132 us   |                              kernel_poison_pages();
139837.742120: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742121: funcgraph_entry:        0.127 us   |                              page_poisoning_enabled();
139837.742121: funcgraph_exit:         1.077 us   |                            }
139837.742121: funcgraph_exit:         2.048 us   |                          }
139837.742122: funcgraph_exit:         3.223 us   |                        }
139837.742122: funcgraph_exit:         4.559 us   |                      }
139837.742122: funcgraph_exit:         4.943 us   |                    }
139837.742122: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742122: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742123: funcgraph_entry:        0.128 us   |                        get_task_policy.part.0();
139837.742123: funcgraph_entry:        0.131 us   |                        policy_nodemask();
139837.742123: funcgraph_entry:        0.131 us   |                        policy_node();
139837.742123: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742123: funcgraph_entry:                   |                          _cond_resched() {
139837.742124: funcgraph_entry:        0.131 us   |                            rcu_all_qs();
139837.742124: funcgraph_exit:         0.389 us   |                          }
139837.742124: funcgraph_entry:        0.130 us   |                          should_fail_alloc_page();
139837.742124: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742124: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742125: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742125: funcgraph_entry:                   |                            prep_new_page() {
139837.742125: funcgraph_entry:        0.133 us   |                              kernel_poison_pages();
139837.742125: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742126: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742126: funcgraph_exit:         1.081 us   |                            }
139837.742126: funcgraph_exit:         1.921 us   |                          }
139837.742126: funcgraph_exit:         2.965 us   |                        }
139837.742126: funcgraph_exit:         4.007 us   |                      }
139837.742127: funcgraph_exit:         4.273 us   |                    }
