Timestamp:      Type:

16805.449091: funcgraph_entry:        0.111 us   |                get_mem_cgroup_from_mm();
16805.449091: funcgraph_entry:                   |                __memcg_kmem_charge_memcg() {
16805.449091: funcgraph_entry:        0.121 us   |                  try_charge();
16805.449091: funcgraph_entry:                   |                  page_counter_try_charge() {
16805.449091: funcgraph_entry:        0.103 us   |                    propagate_protected_usage();
16805.449091: funcgraph_entry:        0.103 us   |                    propagate_protected_usage();
16805.449092: funcgraph_entry:        0.105 us   |                    propagate_protected_usage();
16805.449092: funcgraph_entry:        0.104 us   |                    propagate_protected_usage();
16805.449092: funcgraph_exit:         0.956 us   |                  }
16805.449092: funcgraph_exit:         1.388 us   |                }
16805.449092: funcgraph_exit:         1.807 us   |              }
16805.449092: funcgraph_exit:         4.101 us   |            }
16805.449092: funcgraph_exit:         4.930 us   |          }
16805.449093: funcgraph_entry:        0.110 us   |          inc_zone_page_state();
16805.449093: funcgraph_exit:         5.338 us   |        }
16805.449093: funcgraph_entry:        0.157 us   |        filemap_map_pages();
16805.449093: funcgraph_entry:                   |        __do_fault() {
16805.449093: funcgraph_entry:                   |          xfs_filemap_fault() {
16805.449093: funcgraph_entry:                   |            __xfs_filemap_fault() {
16805.449094: funcgraph_entry:                   |              xfs_ilock() {
16805.449094: funcgraph_entry:                   |                down_read() {
16805.449094: funcgraph_entry:                   |                  _cond_resched() {
16805.449094: funcgraph_entry:        0.146 us   |                    rcu_all_qs();
16805.449094: funcgraph_exit:         0.351 us   |                  }
16805.449094: funcgraph_exit:         0.554 us   |                }
16805.449094: funcgraph_exit:         0.753 us   |              }
16805.449094: funcgraph_entry:                   |              dax_iomap_fault() {
16805.449094: funcgraph_entry:                   |                dax_iomap_pte_fault.isra.41() {
16805.449095: funcgraph_entry:                   |                  grab_mapping_entry() {
16805.449095: funcgraph_entry:        0.109 us   |                    _raw_spin_lock_irq();
16805.449095: funcgraph_entry:        0.123 us   |                    get_unlocked_entry();
16805.449095: funcgraph_entry:        0.118 us   |                    dax_lock_entry();
16805.449095: funcgraph_entry:        0.105 us   |                    dax_disassociate_entry();
16805.449096: funcgraph_entry:                   |                    call_rcu() {
16805.449096: funcgraph_entry:                   |                      __call_rcu.constprop.64() {
16805.449096: funcgraph_entry:        0.105 us   |                        rcu_segcblist_enqueue();
16805.449096: funcgraph_exit:         0.478 us   |                      }
16805.449097: funcgraph_exit:         0.860 us   |                    }
16805.449097: funcgraph_entry:        0.106 us   |                    dax_wake_entry();
16805.449097: funcgraph_entry:                   |                    dax_lock_entry() {
16805.449097: funcgraph_entry:                   |                      kmem_cache_alloc() {
16805.449097: funcgraph_entry:        0.107 us   |                        should_failslab();
16805.449097: funcgraph_entry:        0.105 us   |                        memcg_kmem_put_cache();
16805.449097: funcgraph_exit:         0.527 us   |                      }
16805.449098: funcgraph_entry:                   |                      kmem_cache_alloc() {
16805.449098: funcgraph_entry:        0.108 us   |                        should_failslab();
16805.449098: funcgraph_entry:        0.105 us   |                        memcg_kmem_put_cache();
16805.449098: funcgraph_exit:         0.528 us   |                      }
16805.449098: funcgraph_exit:         1.451 us   |                    }
16805.449098: funcgraph_exit:         3.852 us   |                  }
16805.449099: funcgraph_entry:                   |                  xfs_file_iomap_begin() {
16805.449099: funcgraph_entry:                   |                    xfs_ilock() {
16805.449099: funcgraph_entry:                   |                      down_read() {
16805.449099: funcgraph_entry:                   |                        _cond_resched() {
16805.449099: funcgraph_entry:        0.106 us   |                          rcu_all_qs();
16805.449099: funcgraph_exit:         0.315 us   |                        }
16805.449099: funcgraph_exit:         0.527 us   |                      }
16805.449099: funcgraph_exit:         0.735 us   |                    }
16805.449099: funcgraph_entry:                   |                    xfs_bmapi_read() {
16805.449100: funcgraph_entry:        0.118 us   |                      xfs_iext_lookup_extent();
16805.449100: funcgraph_entry:        0.105 us   |                      xfs_bmapi_trim_map.isra.13();
16805.449100: funcgraph_entry:        0.122 us   |                      xfs_bmapi_update_map.isra.14();
16805.449100: funcgraph_exit:         0.766 us   |                    }
16805.449100: funcgraph_entry:                   |                    xfs_iunlock() {
16805.449100: funcgraph_entry:        0.103 us   |                      up_read();
16805.449101: funcgraph_exit:         0.318 us   |                    }
16805.449101: funcgraph_entry:                   |                    xfs_bmbt_to_iomap() {
16805.449101: funcgraph_entry:        0.102 us   |                      xfs_fsb_to_db();
16805.449101: funcgraph_entry:        0.104 us   |                      xfs_find_bdev_for_inode();
16805.449101: funcgraph_entry:        0.106 us   |                      xfs_find_daxdev_for_inode();
16805.449102: funcgraph_exit:         0.752 us   |                    }
16805.449102: funcgraph_exit:         3.101 us   |                  }
16805.449102: funcgraph_entry:                   |                  dax_iomap_pfn() {
16805.449102: funcgraph_entry:        0.105 us   |                    bdev_dax_pgoff();
16805.449102: funcgraph_entry:                   |                    dax_read_lock() {
16805.449102: funcgraph_entry:        0.109 us   |                      __srcu_read_lock();
16805.449102: funcgraph_exit:         0.320 us   |                    }
16805.449103: funcgraph_entry:                   |                    dax_direct_access() {
16805.449103: funcgraph_entry:                   |                      pmem_dax_direct_access() {
16805.449103: funcgraph_entry:        0.103 us   |                        dax_get_private();
16805.449103: funcgraph_entry:        0.107 us   |                        __pmem_direct_access();
16805.449103: funcgraph_exit:         0.524 us   |                      }
16805.449103: funcgraph_exit:         0.746 us   |                    }
16805.449103: funcgraph_entry:                   |                    dax_read_unlock() {
16805.449103: funcgraph_entry:        0.105 us   |                      __srcu_read_unlock();
16805.449104: funcgraph_exit:         0.312 us   |                    }
16805.449104: funcgraph_exit:         2.020 us   |                  }
16805.449104: funcgraph_entry:                   |                  dax_insert_entry() {
16805.449104: funcgraph_entry:        0.105 us   |                    _raw_spin_lock_irq();
16805.449104: funcgraph_entry:        0.104 us   |                    dax_disassociate_entry();
16805.449104: funcgraph_entry:        0.179 us   |                    dax_lock_entry();
16805.449105: funcgraph_exit:         0.830 us   |                  }
16805.449105: funcgraph_entry:                   |                  vmf_insert_mixed() {
16805.449105: funcgraph_entry:                   |                    __vm_insert_mixed() {
16805.449105: funcgraph_entry:                   |                      track_pfn_insert() {
16805.449105: funcgraph_entry:                   |                        lookup_memtype() {
16805.449105: funcgraph_entry:                   |                          pat_pagerange_is_ram() {
16805.449105: funcgraph_entry:                   |                            walk_system_ram_range() {
16805.449105: funcgraph_entry:                   |                              find_next_iomem_res() {
16805.449106: funcgraph_entry:        0.106 us   |                                _raw_read_lock();
16805.449106: funcgraph_entry:        0.107 us   |                                next_resource.part.8();
16805.449106: funcgraph_entry:        0.198 us   |                                next_resource.part.8();
16805.449106: funcgraph_entry:        0.113 us   |                                next_resource.part.8();
16805.449107: funcgraph_entry:        0.110 us   |                                next_resource.part.8();
16805.449107: funcgraph_entry:        0.107 us   |                                next_resource.part.8();
16805.449107: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449107: funcgraph_entry:        0.108 us   |                                next_resource.part.8();
16805.449107: funcgraph_entry:        0.108 us   |                                next_resource.part.8();
16805.449108: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449108: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449108: funcgraph_entry:        0.105 us   |                                next_resource.part.8();
16805.449108: funcgraph_entry:        0.102 us   |                                next_resource.part.8();
16805.449109: funcgraph_entry:        0.105 us   |                                next_resource.part.8();
16805.449109: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449109: funcgraph_entry:        0.108 us   |                                next_resource.part.8();
16805.449109: funcgraph_entry:        0.112 us   |                                next_resource.part.8();
16805.449109: funcgraph_entry:        0.103 us   |                                next_resource.part.8();
16805.449110: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449110: funcgraph_entry:        0.110 us   |                                next_resource.part.8();
16805.449110: funcgraph_entry:        0.161 us   |                                next_resource.part.8();
16805.449110: funcgraph_entry:        0.255 us   |                                next_resource.part.8();
16805.449111: funcgraph_entry:        0.145 us   |                                next_resource.part.8();
16805.449111: funcgraph_entry:        0.106 us   |                                next_resource.part.8();
16805.449111: funcgraph_entry:        0.107 us   |                                next_resource.part.8();
16805.449112: funcgraph_entry:        0.108 us   |                                next_resource.part.8();
16805.449112: funcgraph_entry:        0.104 us   |                                next_resource.part.8();
